hex_string,utf8_string,emoji_desc
1F600,\u00f0\u009f\u0098\u0080,grinning face
1F603,\u00f0\u009f\u0098\u0083,grinning face with big eyes
1F604,\u00f0\u009f\u0098\u0084,grinning face with smiling eyes
1F601,\u00f0\u009f\u0098\u0081,beaming face with smiling eyes
1F606,\u00f0\u009f\u0098\u0086,grinning squinting face
1F605,\u00f0\u009f\u0098\u0085,grinning face with sweat
1F923,\u00f0\u009f\u00a4\u00a3,rolling on the floor laughing
1F602,\u00f0\u009f\u0098\u0082,face with tears of joy
1F642,\u00f0\u009f\u0099\u0082,slightly smiling face
1F643,\u00f0\u009f\u0099\u0083,upside-down face
1F609,\u00f0\u009f\u0098\u0089,winking face
1F60A,\u00f0\u009f\u0098\u008a,smiling face with smiling eyes
1F607,\u00f0\u009f\u0098\u0087,smiling face with halo
1F970,\u00f0\u009f\u00a5\u00b0,smiling face with hearts
1F60D,\u00f0\u009f\u0098\u008d,smiling face with heart-eyes
1F929,\u00f0\u009f\u00a4\u00a9,star-struck
1F618,\u00f0\u009f\u0098\u0098,face blowing a kiss
1F617,\u00f0\u009f\u0098\u0097,kissing face
263A FE0F,\u00e2\u0098\u00ba\u00ef\u00b8\u008f,smiling face
263A,\u00e2\u0098\u00ba,smiling face
1F61A,\u00f0\u009f\u0098\u009a,kissing face with closed eyes
1F619,\u00f0\u009f\u0098\u0099,kissing face with smiling eyes
1F972,\u00f0\u009f\u00a5\u00b2,smiling face with tear
1F60B,\u00f0\u009f\u0098\u008b,face savoring food
1F61B,\u00f0\u009f\u0098\u009b,face with tongue
1F61C,\u00f0\u009f\u0098\u009c,winking face with tongue
1F92A,\u00f0\u009f\u00a4\u00aa,zany face
1F61D,\u00f0\u009f\u0098\u009d,squinting face with tongue
1F911,\u00f0\u009f\u00a4\u0091,money-mouth face
1F917,\u00f0\u009f\u00a4\u0097,hugging face
1F92D,\u00f0\u009f\u00a4\u00ad,face with hand over mouth
